text,created,user_name,likes,replies,source
"Milei está transformando la economía argentina con sus políticas liberales",2024-09-15,EconomistaChile,45,12,twitter
"La propuesta de Bachelet sobre pensiones merece análisis profundo",2024-09-16,PoliticaHoy,78,23,news
"José Antonio Kast presenta su plan de gobierno para Chile",2024-09-17,NoticiasCL,156,34,twitter
"El análisis de la situación política actual es complejo",2024-09-18,AnalistaPolítico,89,19,tiktok
"Bachelet vs Kast: debate sobre el futuro de Chile",2024-09-19,DebateChile,234,67,twitter
"Milei y sus medidas económicas generan controversia",2024-09-20,EconomíaLatam,123,45,news
"La política chilena necesita renovación generacional",2024-09-21,JóvenesPolítica,67,15,tiktok
"Kast propone reformas estructurales para el país",2024-09-22,ReformasChile,198,52,twitter
"El legado de Bachelet en derechos humanos",2024-09-23,DDHH_Chile,145,38,news
"Análisis comparativo: Milei, Kast y otros líderes",2024-09-24,ComparativaPolítica,178,41,twitter
"La economía chilena frente a los desafíos globales",2024-09-25,EconomíaGlobal,92,27,other
"Bachelet y su visión sobre la educación pública",2024-09-26,EducaciónChile,134,32,news
"Kast defiende su posición sobre seguridad ciudadana",2024-09-27,SeguridadCL,167,44,twitter
"El fenómeno Milei llega a Chile: análisis político",2024-09-28,AnálisisCL,201,58,tiktok
"Propuestas económicas de los candidatos presidenciales",2024-09-29,CandidatosCL,156,39,twitter
